原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
'000037,9.58,匹配成功,000037,000037,深南电A,9.36,0.22000000000000064,代码标准化匹配,-2.3,-0.22,98097.0,92366341.0,-114.62,3.83
'000603,15.61,匹配成功,000603,000603,盛达资源,15.73,0.120000000000001,代码标准化匹配,0.77,0.12,133444.0,211310027.1,327.53,3.66
'000798,7.89,匹配成功,000798,000798,中水渔业,7.36,0.5299999999999994,代码标准化匹配,-6.72,-0.53,194252.0,144572082.65,-41.92,7.87
'000823,10.74,匹配成功,000823,000823,超声电子,10.86,0.11999999999999922,代码标准化匹配,1.12,0.12,78050.0,84340241.6,34.9,1.24
'000970,12.35,匹配成功,000970,000970,中科三环,11.9,0.4499999999999993,代码标准化匹配,-3.64,-0.45,250630.0,300591890.2,268.11,2.25
'000985,18.54,匹配成功,000985,000985,大庆华科,18.27,0.2699999999999996,代码标准化匹配,-1.46,-0.27,15939.0,29310136.51,83.08,3.9
'001259,26.16,匹配成功,001259,001259,利仁科技,25.54,0.620000000000001,代码标准化匹配,-2.37,-0.62,14253.0,36880779.0,221.76,2.64
'001368,23.37,匹配成功,001368,001368,通达创智,22.8,0.5700000000000003,代码标准化匹配,-2.44,-0.57,10854.0,24813865.0,23.11,1.9
'002132,3.55,匹配成功,002132,002132,恒星科技,3.54,0.009999999999999787,代码标准化匹配,-0.28,-0.01,203288.0,71881388.88,218.76,1.41
'002208,7.43,匹配成功,002208,002208,合肥城建,7.34,0.08999999999999986,代码标准化匹配,-1.21,-0.09,363346.0,268880882.12,159.51,0.91
'002300,6.79,匹配成功,002300,002300,太阳电缆,6.77,0.020000000000000462,代码标准化匹配,-0.29,-0.02,214417.0,145577138.69,58.37,2.56
'002352,49.68,匹配成功,002352,002352,顺丰控股,49.92,0.240000000000002,代码标准化匹配,0.48,0.24,72538.0,361329574.17,27.89,2.65
'300457,20.45,匹配成功,300457,300457,赢合科技,20.85,0.40000000000000213,代码标准化匹配,1.96,0.4,585108.0,1212545896.01,223.15,2.12
'300479,21.5,匹配成功,300479,300479,神思电子,21.5,0.0,代码标准化匹配,0.0,0.0,77106.0,166412381.0,-36.73,8.21
'300585,15.43,匹配成功,300585,300585,奥联电子,15.3,0.129999999999999,代码标准化匹配,-0.84,-0.13,14753.0,22773436.0,-358.25,3.71
'300943,16.02,匹配成功,300943,300943,春晖智控,15.8,0.21999999999999886,代码标准化匹配,-1.37,-0.22,77874.0,122135221.5,63.64,3.35
'301048,11.04,匹配成功,301048,301048,金鹰重工,10.78,0.2599999999999998,代码标准化匹配,-2.36,-0.26,97083.0,105542496.0,41.1,2.14
