原始代码,参考价格,匹配状态,标准化代码,股票代码,股票名称,当前价格,价格差异,匹配类型,涨跌幅,涨跌额,成交量,成交额,市盈率,市净率
000548,5.34,匹配成功,000548,000548,湖南投资,0.0,5.34,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000586,11.12,匹配成功,000586,000586,汇源通信,0.0,11.12,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000676,9.12,匹配成功,000676,000676,智度股份,0.0,9.12,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000850,4.46,匹配成功,000850,000850,华茂股份,0.0,4.46,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000878,12.72,匹配成功,000878,000878,云南铜业,0.0,12.72,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000960,15.3,匹配成功,000960,000960,锡业股份,0.0,15.3,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
000995,14.61,匹配成功,000995,000995,皇台酒业,0.0,14.61,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
002023,10.82,匹配成功,002023,002023,海特高新,0.0,10.82,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
002350,6.86,匹配成功,002350,002350,北京科锐,0.0,6.86,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300099,7.34,匹配成功,300099,300099,精准信息,0.0,7.34,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300112,9.05,匹配成功,300112,300112,万讯自控,0.0,9.05,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300123,7.22,匹配成功,300123,300123,亚光科技,0.0,7.22,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300582,12.82,匹配成功,300582,300582,英飞特,0.0,12.82,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300930,28.52,匹配成功,300930,300930,屹通新材,0.0,28.52,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
301309,26.31,匹配成功,301309,301309,万得凯,0.0,26.31,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
301311,20.43,匹配成功,301311,301311,昆船智能,0.0,20.43,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600118,28.57,匹配成功,600118,600118,中国卫星,0.0,28.57,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600182,15.91,匹配成功,600182,600182,SST佳通,0.0,15.91,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600235,6.25,匹配成功,600235,600235,民丰特纸,0.0,6.25,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600237,7.25,匹配成功,600237,600237,铜峰电子,0.0,7.25,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600356,8.05,匹配成功,600356,600356,恒丰纸业,0.0,8.05,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600470,6.23,匹配成功,600470,600470,六国化工,0.0,6.23,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600523,14.79,匹配成功,600523,600523,贵航股份,0.0,14.79,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600536,46.77,匹配成功,600536,600536,中国软件,0.0,46.77,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600768,11.43,匹配成功,600768,600768,宁波富邦,0.0,11.43,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600776,11.14,匹配成功,600776,600776,东方通信,0.0,11.14,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600775,10.89,匹配成功,600775,600775,南京熊猫,0.0,10.89,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600834,9.3,匹配成功,600834,600834,申通地铁,0.0,9.3,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
603186,30.18,匹配成功,603186,603186,华正新材,0.0,30.18,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
605183,17.5,匹配成功,605183,605183,确成股份,0.0,17.5,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688123,80.99,匹配成功,688123,688123,聚辰股份,0.0,80.99,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688362,29.78,匹配成功,688362,688362,甬矽电子,0.0,29.78,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
688517,14.38,匹配成功,688517,688517,金冠电气,0.0,14.38,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
300750,252.22,匹配成功,300750,300750,宁德时代,0.0,252.22,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600071,21.36,匹配成功,600071,600071,凤凰光学,0.0,21.36,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600461,9.64,匹配成功,600461,600461,洪城环境,0.0,9.64,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
600897,14.59,匹配成功,600897,600897,厦门空港,0.0,14.59,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
603606,51.71,匹配成功,603606,603606,东方电缆,0.0,51.71,代码精确匹配,0.0,0.0,0.0,0.0,0.0,0.0
